"Year2";"Wall";"TotalArea1";"Address";"long";"lat"
"01.01.1969";"кирпичные";"1071,4";"г. Суровикино, мкр. 1-й, д. 35";42,8573375;48,612695
"01.01.1983";"кирпичные";"1509,6";"г. Суровикино, мкр. 1-й, д. 36";42,8551725;48,6123975
"01.01.1977";"кирпичные";"1548,6";"г. Суровикино, мкр. 1-й, д. 41";42,859826;48,611218
"11.08.1985";"кирпичные";"4622,3";"г. Суровикино, мкр. 2-й, д. 8";42,8424255;48,6028595
"21.09.1988";"кирпичные";"1533,4";"г. Суровикино, ул. Новая, д. 9";42,829993;48,6114445
"01.01.1984";"кирпичные";"1489,1";"г. Суровикино, ул. Орджоникидзе, д. 83";42,8622965;48,610509
"14.07.1933";"кирпичные";"630,6";"г. Суровикино, пер. Заводской, д. 12";42,8526755;48,6085015
"01.01.1963";"кирпичные";"417";"г. Суровикино, ул. Ленина, д. 10";42,833056;48,6059635
"01.01.1956";"кирпичные";"291,3";"г. Суровикино, ул. Ленина, д. 70";42,8419405;48,6051775
"01.01.1956";"кирпичные";"291,3";"г. Суровикино, ул. Ленина, д. 72";42,8423805;48,6051835
"21.10.1964";"кирпичные";"624,6";"г. Суровикино, ул. Октябрьская, д. 41";42,8468365;48,613297
"11.11.1965";"кирпичные";"619,6";"г. Суровикино, ул. Октябрьская, д. 45";42,8482195;48,613148
"01.01.1964";"кирпичные";"654,4";"г. Суровикино, ул. Орджоникидзе, д. 59";42,8546695;48,6103185
"01.01.1964";"кирпичные";"1028,2";"г. Суровикино, ул. Орджоникидзе, д. 61";42,8552535;48,6102705
"01.01.1964";"кирпичные";"687,4";"г. Суровикино, ул. Орджоникидзе, д. 63";42,8558555;48,610211
"01.01.1954";"кирпичные";"419,3";"г. Суровикино, ул. Советская, д. 10";42,8324815;48,6048795
"01.01.1954";"кирпичные";"449,4";"г. Суровикино, ул. Советская, д. 3";42,8308555;48,6055405
"01.01.1954";"кирпичные";"449,4";"г. Суровикино, ул. Советская, д. 6";42,8307295;48,6051415
"10.10.1973";"кирпичные";"669,4";"г. Суровикино, мкр. 1-й, д. 13";42,8579935;48,613011
"01.01.1969";"кирпичные";"1030,6";"г. Суровикино, мкр. 1-й, д. 15";42,855505;48,612868
"01.01.1972";"кирпичные";"1540,6";"г. Суровикино, мкр. 1-й, д. 23";42,85864;48,611343
"23.07.1974";"кирпичные";"724,1";"г. Суровикино, мкр. 1-й, д. 6";42,8574455;48,6104195
"25.11.1965";"кирпичные";"583,4";"г. Суровикино, ул. Орджоникидзе, д. 65";42,8568705;48,61011
"01.01.1965";"кирпичные";"1316,4";"г. Суровикино, ул. Орджоникидзе, д. 67";42,858182;48,6099845
"01.01.1954";"кирпичные";"449,4";"г. Суровикино, ул. Шоссейная, д. 57";42,838563;48,618276
"01.01.1972";"кирпичные";"969,3";"г. Суровикино, мкр. 1-й, д. 25";42,8559185;48,613106
"01.01.1969";"кирпичные";"957,3";"г. Суровикино, мкр. 1-й, д. 26";42,8569965;48,6134575
"01.01.1985";"панельные";"703";"г. Суровикино, мкр. 1-й, д. 27";42,8585055;48,613851
"01.01.1985";"панельные";"707,8";"г. Суровикино, мкр. 1-й, д. 28";42,858793;48,613493
"01.01.1971";"кирпичные";"710,2";"г. Суровикино, мкр. 1-й, д. 54";42,8547775;48,6106875
"17.06.1983";"кирпичные";"5944,2";"г. Суровикино, мкр. 2-й, д. 3";42,8457405;48,603968
"01.01.1983";"кирпичные";"5957,6";"г. Суровикино, мкр. 2-й, д. 4";42,842192;48,6043255
"01.01.1977";"кирпичные";"4551,7";"г. Суровикино, мкр. 2-й, д. 6";42,8420305;48,6035565
"24.03.1982";"кирпичные";"6021";"г. Суровикино, мкр. 2-й, д. 7";42,844851;48,6026395
"01.01.1975";"кирпичные";"1046,9";"г. Суровикино, ул. Автострадная, д. 14";42,8628265;48,6123735
"01.01.1980";"кирпичные";"199,5";"г. Суровикино, ул. Ленина, д. 67";42,843791;48,6058025
"01.01.1976";"кирпичные";"1192,5";"г. Суровикино, мкр. 1-й, д. 23а";42,8541125;48,61254
"20.11.1982";"кирпичные";"1858,2";"г. Суровикино, ул. Автострадная, д. 16а";42,862018;48,610938
"01.01.1980";"кирпичные";"197,7";"г. Суровикино, ул. Ленина, д. 69";42,844932;48,6056835
"23.11.1973";"кирпичные";"1271,4";"г. Суровикино, ул. Орджоникидзе, д. 75";42,861937;48,6095915
"01.01.1979";"кирпичные";"1069,6";"г. Суровикино, ул. Орджоникидзе, д. 79";42,862907;48,610485
"01.01.1975";"железобетонные";"1418,3";"г. Суровикино, ул. Орджоникидзе, д. 87";42,8622695;48,609949
